,0
0,attack
1,traffic
2,DeDOS
3,DDoS
4,Docker
5,hashing
6,binary
7,script
8,Docker
9,protection
10,Osiris
11,Docker
12,python
13,ethereum
14,Tor
15,csv
16,bitcoin
17,wi-fi
18,ipsec
19,timing attack
20,packets
21,traffic
22,IP address
23,software-defined networking
24,bitcoin
25,address
26,transaction
27,blockchain db
28,clustering
29,trade-bitcoin
30,data accountability
31,blockchain
32,smart contracts
33,privacy
34,security
35,blockchain
36,IoT
37,blockchain
38,bitcoin
39,ELASTICO
40,cryptocurrency
41,secure sharding protocol
42,bitcoin
43,bitcoin
44,bitcoin
45,ethereum
46,smart contract
47,blockchain
48,mining
49,decentralized
50,bitcoin
51,ethereum
52,scalability
53,state
54,transition
55,state transition function
56,bitcoin
57,scalability
58,block size
59,countermeasures
60,security
61,bitcoin
62,website fingerprinting
63,attacks
64,defenses
65,Tor
66,walkie-talkie
67,website fingerprinting
68,attacks
69,defense
70,privacy
71,eavesdropping
72,Loopix
73,Loopix
74,traffic analysis
75,sender
76,receiver
77,anonymity
78,Poisson mixing
79,latency
80,obfuscation
81,Docker
82,tigress
83,tigress
84,challenge
85,program
86,obfuscate
87,reverse engineer
88,code
89,attack
90,software obfuscation
91,deobfuscation
92,symbolic execution attack
93,reverse engineering
94,C programs
95,privacy-sensitive
96,sensors
97,AWare
98,malicious
99,android application
100,operations
101,users
102,Bind
103,databinding
104,loophole
105,package
106,tuning
107,cross-validation
108,timeseries
109,timing
110,data
111,rawtraces
112,.tar.xz files
113,event loops
114,shared
115,timing attacks
116,Chrome
117,event-driven programming
118,bootstomp
119,bootloader
120,Docker
121,bootloader
122,vulnerabilities
123,integrity
124,security
125,mobile devices
126,bootstomp
127,SSL
128,TLS
129,heartbleed
130,PKI
131,private key sharing
132,DNSSEC
133,SSL certificates
134,reissues
135,revocations
136,PKI
137,analysis
138,vulnerablility
139,heartbleed
140,extended validation
141,security
142,malicious
143,third parties
144,Rapid7
145,Censys
146,certificates
147,X.509
148,Alexa
149,top 1 million websites
150,SSL
151,TSL
152,HTTP
153,UDP
154,TCP
155,scans
156,SYN
157,DNS
158,heartbleed
159,certificates
160,SQLite
161,database
162,Alexa
163,domain-advertising
164,certificate revocation
165,X.509
166,extended validation
167,web browsers
168,CRLset
169,CAs
170,heartbleed
171,PKI
172,end-to-end measurement
173,SSL
174,IPv4
175,HTTP
176,scans
177,crlset
178,tool
179,utility program
180,dumping
181,fetching
182,Chrome
183,CRL set
184,crlsets
185,domains
186,certs
187,oids
188,ocsps
189,certdomains
190,SQLite database
191,private key sharing
192,SSL
193,TLS
194,HTTP
195,measurement
196,analysis
197,end-to-end
198,PKI
199,certificate
200,X.509
201,CAs
202,private key sharing
203,SSL
204,TLS handshake
205,pki
206,communication
207,third party
208,hosting providers
209,cloud
210,domain
211,data
212,dataset
213,whois
214,SSL
215,certificates
216,scans
217,domains
218,DNS
219,reverse
220,IPv4
221,scans
222,IP address
223,certificate
224,bulk WHOIS data
225,API
226,parser system
227,IP
228,domain to organization mapping
229,ssv
230,.com
231,.nz
232,.net
233,third party services
234,hosting
235,certificate
236,ssv
237,management policy
238,third party
239,hosting services
240,tsv
241,private key sharing
242,HTTPS
243,ecosystem
244,measurement
245,analysis
246,SSL
247,TLS
248,valid
249,invalid
250,certificates
251,PKI
252,HTTPS
253,CAs
254,IP addresses
255,SSL
256,X.509
257,certificates
258,HTTPS
259,opendata
260,SSL
261,invalid
262,certificates
263,tsv
264,SSL
265,valid
266,certificates
267,tsv
268,certificate
269,field information
270,comparison
271,invalid
272,valid
273,certificates
274,perl
275,linking multiple certificates
276,common field value
277,non-overlapping lifetime
278,cascade linking certificates
279,iterative
280,all possible field values
281,OCSP Must-Staple
282,TLS handshake
283,valid
284,certificates
285,web
286,OCSP measurement
287,vantage point
288,Oregon
289,json
290,.taz.xz
291,OCSP measurement
292,vantage point
293,Virginia
294,json
295,.taz.xz
296,OCSP measurement
297,vantage point
298,Sao-Paulo
299,json
300,.taz.xz
301,OCSP measurement
302,vantage point
303,Paris
304,json
305,.taz.xz
306,OCSP measurement
307,vantage point
308,Sydney
309,json
310,.taz.xz
311,OCSP measurement
312,vantage point
313,Seoul
314,json
315,.taz.xz
316,DNSSEC
317,PKI
318,integrity
319,resolver
320,clients
321,longitudinal
322,ecosystem
323,TLD zone files
324,verisign
325,com
326,net
327,TLD zone files
328,public internet registry
329,org
330,zone scans
331,openintel
332,resolver scans
333,resolver measurement
334,json
335,json
336,.txt file
337,dataset description
338,DNS
339,DNSSEC
340,DNS Security Extension
341,PKI
342,Registrar
343,DNS Operator
344,TLD zone files
345,verisign
346,com
347,net
348,TLD zone files
349,public internet registry
350,org
351,TLD zone files
352,SIDN
353,zone scans
354,openintel
355,SHA-1
356,cryptographic
357,hash function
358,integrity
359,verification
360,TLS
361,SSL
362,SHA-1
363,near-collision
364,attacks
365,SHA-1
366,NIST
367,cryptographic
368,hash function
369,TLS
370,certificate
371,secret-key cryptography
372,SHA-1
373,hash function
374,cryptanalysis
375,free-start collision
376,GPU implementation
377,symmetric-key cryptography
378,SHA-1
379,hash function
380,cryptanalysis
381,freestart collision
382,GPU implementation
383,public-key cryptography
384,hash function
385,cryptanalysis
386,collision attack
387,SHA-1
388,collision example
389,differential path
390,SHA-1
391,freestart
392,collisions
393,IV
394,message pairs
395,hashclash
396,SHA-1
397,MD5
398,cryptanalysis
399,attack
400,authentication
401,ciphertext
402,data
403,integrity
404,security
405,updatable encryption
406,cloud storage
407,key rotation
408,key-homomorphic PRF
409,recrypt
410,key rotation
411,authenticated encryption
412,prototype code
413,confidentiality
414,integrity
415,security
416,CSIRT
417,data protection
418,digital forensics
419,IoT
420,cybersecurity threats
421,enablers
422,adopters
423,SAFE
424,security analyses
425,malicious
426,system availability
427,SAFE
428,security
429,unsafe
430,ticket duration
431,deobfuscation tool
432,virtualization-packed binaries
433,automatic static and dynamic analysis
434,disassembly
435,VMAttack
436,VMAttack
437,reverse engineer
438,virtual machine
439,IDA PRO
440,redundant capacity
441,filesystem timestamps
442,information hiding
443,data leakage
444,steganographic
445,digital forensics
446,python
447,powershell
448,file creation
449,code download
450,sequential pattern and rule mining
451,subset of data mining methods
452,cybersecurity alerts
453,alert correlation
454,attack prediction
455,sequential rule and pattern mining
456,cybersecurity alerts
457,sequential databases
458,SPMF library
459,partitioning
460,load balancing
461,adaptive mesh-refinement
462,algorithms
463,balancing
464,partitioning
465,space-filling curves
466,optimized code generation
467,TLS 1.3 record layer
468,handshake
469,authentication. AED
470,MAC
471,PRF
472,cryptographic protocols
473,implementation
474,provable security
475,transport layer security
476,TLS 1.3 record layer
477,project everest
478,source code
479,project everest
480,HTTPS ecosystem
481,Docker
482,F*
483,open SSL engine
484,project everest
485,HTTPS ecosystem
486,X.509 public key infrastructure
487,TLS
488,handshake
489,record layer
490,C
491,assembly code
492,work in progress
493,F*
494,Docker
495,project everest
496,TLS implementation
497,C
498,cygwin
499,F*
500,TLS 1.2
501,1.3
502,HTTPS stack replacement
503,project everest
504,functional programming language
505,TLS 1.3 record layer
506,kreMLin
507,F*
508,extracts
509,readable
510,C code
511,project everest
512,"
subset of F*"
513,kreMLin
514,user manual
515,documentation
516,low level code
517,Low*
518,kreMLin
519,cryptographic libraries
520,HACL*
521,F*
522,cryptographic library
523,project everest
524,kreMLin
525,openssl
526,libsodium
527,HACL*
528,C
529,cryptographic library
530,F*
531,implementation
532,formal verification
533,openssl
534,libsodium
535,research team
536,security research
537,cryptographic protocols
538,software security
539,web security
540,hardware protection mechanisms
541,formal verification tools
542,TLS
543,verified reference implementation
544,F*
545,Docker
546,miTLS
547,TLS protocol
548,verified reference implementation
549,code
550,F#
551,transcript collisions
552,miTLS
553,TLS
554,1.3
555,MD5
556,SHA-1
557,X.509 certificates
558,cryptographic protocols
559,TLS
560,IKE
561,SSH
562,authentication
563,integrity
564,MAC
565,diffie-hellman key exchange
566,TLS
567,less secure
568,Internet protocols
569,Logjam
570,Alexa Top Million HTTPS
571,SSH
572,IPSec
573,TLS
574,1.2
575,F# implementation
576,F7 typechecker
577,HTTPS
578,VPN
579,web traffic
580,attacks
581,logic
582,cryptography
583,adaptive plaintext
584,TLS
585,verified reference implementation
586,Internet standard
587,software security
588,protocol security
589,cryptographic security
590,FLEXTLS
591,tool
592,TLS implementation testing
593,miTLS
594,transport layer security
595,cryptographic protocols
596,attacks
597,protocol testing
598,composite TLS state machine
599,transport layer security
600,cryptographic protocols
601,man-in-the-middle attacks
602,software verification
603,formal methods
604,java
605,runtime
606,attack vector
607,access control
608,shortcuts
609,JVM
610,security
611,research analysis
612,transformation
613,instrumentation
614,java
615,access control
616,shortcuts
617,elevate
618,implicit
619,privilege
620,attack vector
621,attacks
622,vulnerabilities
623,confused deputy
624,cryptography
625,APIs
626,cryptographic libraries
627,errors
628,symmetric
629,asymmetric
630,secure development
631,bcrypt
632,library
633,python
634,password hashing
635,software
636,servers
637,scrypt
638,security
639,cryptography
640,cryptographic implementations
641,pure-Rust
642,python-gnupg
643,security patches
644,documentation
645,signing
646,verification
647,Rust
648,Tor
649,routing traffic
650,simple-crypt
651,python
652,secure encryption
653,decryption
654,julia
655,parser
656,combinator
657,library
658,wrapper
659,libsodium
660,high level crypto primitives
661,pyaes
662,pure python implementation
663,AES
664,block cipher algorithm
665,common modes of operation
666,CBC
667,OFB
668,ECB
669,CFB
670,CTR
671,pyDES
672,pure python implementation
673,DES
674,triple-DES
675,encryption algorithm
676,SQL
677,verifying
678,queries
679,cloud
680,dynamic
681,databases
682,outsourcing
683,vSQL
684,cryptographic protocols
685,optimal ate pairing
686,Barreto-Naehrig (BN) curves
687,library
688,software implementation
689,integriDB
690,verifiable SQL
691,outsourced databases
692,mysql
