,Frequency,Word
0,1052279,denial of service
1,843942,attacks and defenses
2,815406,man-in-the-middle attack
3,539880,Zero-Day
4,404249,HTTPS
5,344728,attacks on users
6,216521,drive-by download
7,193018,SHA-1
8,126431,hardware-assisted data-flow isolation
9,120265,data protection
10,114487,data privacy
11,114330,data leakage
12,113100,control-flow analysis
13,108815,Two-factor authentication
14,103718,code analysis
15,101837,binary analysis framework
16,100222,binary analysis tool
17,93836,dynamic analysis
18,88341,binary analysis
19,86109,static analysis
20,77718,one-way hash
21,74980,Intrusion detection system (IDS)
22,71412,Personal information
23,70745,Intrusion prevention system (IPS)
24,66517,information hiding
25,64986,triple-DES
26,64176,DES
27,62006,public key
28,50223,Access control
29,46581,shared key
30,45485,Biba integrity model
31,45377,private key
32,44598,authenticated key exchange
33,44545,control-flow integrity
34,44463,key exchange
35,41323,symmetric-key cryptography
36,40816,secret-key cryptography
37,40527,secret key
38,40444,software verification
39,38948,software vulnerabilities
40,38673,software obfuscation
41,38598,binary-level
42,35367,admission control
43,33627,network function virtualization
44,31938,code security
45,31260,error-handling code
46,29272,code-reuse attack mitigation
47,28523,Risk assessment
48,27931,code-reuse attacks
49,21888,network isolation
50,21435,formal verification tools
51,20613,address space layout randomization
52,19467,Network firewall
53,18853,hardware protection mechanisms
54,18513,0-RTT mechanism
55,18221,black-box
56,17640,block cipher algorithm
57,14469,DNS Security Extension
58,14256,digital signatures
59,13854,digital certificate
60,13755,false positive
61,13683,digital forensics
62,13307,Risk
63,11439,enterprise security
64,9752,false negative
65,9065,alert correlation
66,8711,security
67,8290,Air-Gapped
68,7957,attack prediction
69,7537,cyber grand challenge
70,6824,binary trace
71,6364,attack vector
72,6311,oblivious storage 
73,6054,binary vulnerability
74,5583,privacy-sensitive
75,5553,anti-virtualization
76,5428,robust
77,5412,bugs
78,5093,crash exploration
79,4593,safe websites
80,4489,destabilizing pointer perception
81,4287,memory corruption
82,3796,IDA PRO
83,3742,reflection attack
84,3573,symbolic execution
85,3290,timing attack
86,3026,privacy-preserving
87,3001,flash-crowd attack
88,2998,covert channels
89,2696,collision attack
90,2670,cascade linking certificates
91,2346,Threat actor
92,2317,reverse engineer
93,2273,blockchain attacks
94,2273,SYN flood
95,2208,false alarm
96,2060,bitcoin attacks
97,2034,Threat
98,1981,cryptocurrency attacks
99,1882,privacy
100,1613,integrity
101,1613,integrity
102,1599,patch
103,1325,oblivious RAM
104,1123,worms
105,1119,vulnerability
106,1104,authentication
107,985,authenticated encryption
108,827,encryption
109,723,viruses
110,659,cryptography
111,593,adversarial perturbations
112,460,cryptographic
113,421,password hashing
114,416,Tor
115,410,confidentiality
116,380,certificate revocation
117,372,blockchain
118,370,fraud
119,349,Keyboard logger
120,347,authenticity
121,347,AES
122,342,certificate
123,332,password
124,278,authorization
125,277,crypto-ransomware
126,258,RSA
127,243,Hacker
128,223,NFV
129,210,cipher
130,196,byzantine
131,189,decryption
132,189,decryption
133,167,cybersecurity
134,163,malware
135,160,anonymity
136,145,bitcoin
137,134,spam
138,131,SSH
139,131,CBC
140,104,TLS
141,104,TLS
142,103,adversary
143,101,MD5
144,100,diffie-hellman
145,97,cybercrime
146,90,firewall
147,89,Phishing
148,89,DDoS
149,89,(DDoS)
150,86,SSL
151,86,SSL
152,77,(IRC)
153,76,phishing
154,68,cryptanalysis
155,68,TPM
156,66,eavesdropping
157,65,disassembly
158,64,Trojan
159,47,ethereum
160,41,ciphertext
161,36,CFB
162,32,PKI
163,32,Botnet
164,28,ECB
165,27,IPSec
166,27,Honeypot
167,25,RC4
168,24,Blacklist
169,23,Antivirus
170,19,ORAM
171,16,ransomware
172,16,Kerberos
173,15,openssl
174,11,Tamarin
175,7,DNSSEC
176,7,DMZ
177,6,obfuscate
178,6,ASLR
179,5,OFB
180,4,TCAM
181,3,Hacktivist
182,2,heartbleed
183,2,angr
184,2,Keylogger
185,2,Hacktivism
186,2,Conficker
187,1,deobfuscation
188,1,clickjacking
189,1,bcrypt
190,0,shellphish
191,0,reassemblr
192,0,certdomains
193,0,Bell --LaPadula model
