,url,term:frequency,log score,score category
0,https://doi.org/10.5281/zenodo.1467782,{},-inf,zero
1,https://doi.org/10.5281/zenodo.893174,{},-inf,zero
2,https://doi.org/10.1515/crll.1866.66.92,{},-inf,zero
3,https://doi.org/10.5281/zenodo.889276,{},-inf,zero
4,https://doi.org/10.5281/zenodo.889177,{},-inf,zero
5,https://doi.org/10.1515/crll.1870.71.201,{},-inf,zero
6,https://doi.org/10.1163/187501799x00283,{},-inf,zero
7,https://doi.org/10.5281/zenodo.3372103,{},-inf,zero
8,https://doi.org/10.1007/bf01826530,{},-inf,zero
9,https://doi.org/10.5281/zenodo.889229,{},-inf,zero
10,https://doi.org/10.5281/zenodo.1004659,{'data-flow': 1},7.178713727580665,low
11,https://doi.org/10.5281/zenodo.1004659,{'data-flow': 1},7.178713727580665,low
12,https://doi.org/10.5281/zenodo.3663579,{'oblivious': 1},7.899566060177427,low
13,https://doi.org/10.5281/zenodo.3663579,{'oblivious': 1},7.899566060177427,low
14,https://doi.org/10.19238/andes2016,{'IDA': 1},8.170717338969009,low
15,https://doi.org/10.1086/212399,{'IDA': 1},8.170717338969009,low
16,https://doi.org/10.1086/251980,{'IDA': 1},8.170717338969009,low
17,https://doi.org/10.5281/zenodo.2562070,{'IDA': 1},8.170717338969009,low
18,https://doi.org/10.1086/212018,{'IDA': 1},8.170717338969009,low
19,https://doi.org/10.1002/cber.19040370467,{'IDA': 1},8.170717338969009,low
20,https://doi.org/10.5281/zenodo.164928,"{'and': 5, 'mechanism': 1, 'model': 1, 'of': 4}",20.232097010158288,middle
21,https://doi.org/10.5281/zenodo.1490885,"{'and': 5, 'of': 4, 'public': 4}",20.2321212650589,middle
22,https://doi.org/10.5281/zenodo.1490885,"{'and': 5, 'of': 4, 'public': 4}",20.2321212650589,middle
23,https://doi.org/10.5281/zenodo.2660686,"{'analysis': 1, 'and': 2, 'of': 6, 'on': 1, 'public': 5}",20.232143191788815,middle
24,https://doi.org/10.5281/zenodo.2841866,"{'analysis': 1, 'and': 5, 'authenticated': 1, 'of': 4}",20.23214445635409,middle
25,https://doi.org/10.5281/zenodo.2841866,"{'analysis': 1, 'and': 5, 'authenticated': 1, 'of': 4}",20.23214445635409,middle
26,https://doi.org/10.5281/zenodo.2841866,"{'analysis': 1, 'and': 5, 'authenticated': 1, 'of': 4}",20.23214445635409,middle
27,https://doi.org/10.5281/zenodo.2841866,"{'analysis': 1, 'and': 5, 'authenticated': 1, 'of': 4}",20.23214445635409,middle
28,https://doi.org/10.5281/zenodo.1197517,"{'and': 5, 'information': 1, 'of': 4, 'user': 1}",20.23215551764975,middle
29,https://doi.org/10.5281/zenodo.2542946,"{'and': 7, 'data': 2, 'model': 1, 'of': 2, 'on': 2, 'perception': 5}",20.232175731226718,middle
